epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.354,0.99438,1.95507,1.44523,0.24735,0.47137,0.16457,0.09899,1.07067,3.77172,1.45696,0.00040008,0.00040008,0.00040008
2,465.636,1.00572,1.50933,1.4556,0.36355,0.48504,0.41768,0.2609,1.35765,6.1481,2.02634,0.000808743,0.000808743,0.000808743
3,688.213,1.06561,1.48921,1.51253,0.19736,0.3812,0.27646,0.14427,1.70003,6.73598,2.28646,0.00120916,0.00120916,0.00120916
4,911.075,1.12849,1.44556,1.54128,0.12359,0.24829,0.1197,0.06436,1.85681,437.519,2.73181,0.00160132,0.00160132,0.00160132
5,1133.47,1.12223,1.41749,1.54818,0.11883,0.30043,0.16362,0.10175,2.04036,5.00688,3.05418,0.00160099,0.00160099,0.00160099
6,1355.83,1.11339,1.4159,1.50904,0.65259,0.34359,0.39541,0.23512,1.33246,2.72542,1.82498,0.00158448,0.00158448,0.00158448
7,1577.19,1.07734,1.283,1.48254,0.70359,0.39915,0.43885,0.2924,1.29802,1.94553,1.8753,0.00156798,0.00156798,0.00156798
8,1798.07,1.06892,1.28137,1.51487,0.33519,0.46581,0.32701,0.20165,1.48738,3.01849,1.88409,0.00155148,0.00155148,0.00155148
9,2018.07,1.03562,1.24453,1.46237,0.47144,0.45812,0.43734,0.28835,1.35113,2.25987,1.66971,0.00153497,0.00153497,0.00153497
10,7899.42,0.91366,1.15469,1.40743,0.46005,0.44402,0.40599,0.29846,1.19183,2.60049,1.61417,0.00151847,0.00151847,0.00151847
11,8122.47,1.00371,1.21019,1.45145,0.67841,0.46709,0.55795,0.39116,1.18834,1.35165,1.61839,0.00150197,0.00150197,0.00150197
12,8346.45,1.00032,1.21625,1.43487,0.79554,0.44487,0.52356,0.35343,1.18822,1.48794,1.53133,0.00148546,0.00148546,0.00148546
13,8571.26,0.99948,1.18396,1.4305,0.75194,0.47009,0.58043,0.40195,1.0965,1.42848,1.44527,0.00146896,0.00146896,0.00146896
14,8795.65,0.99177,1.15236,1.42198,0.53996,0.44658,0.48489,0.32929,1.17591,1.82533,1.51746,0.00145246,0.00145246,0.00145246
15,9021.71,0.91452,1.08804,1.39505,0.82402,0.44188,0.52887,0.37383,1.30045,1.4367,1.60594,0.00143595,0.00143595,0.00143595
16,9247.42,0.9545,1.1438,1.42336,0.61634,0.55128,0.58855,0.43723,0.96594,1.24534,1.37279,0.00141945,0.00141945,0.00141945
17,9474.94,0.8752,1.05845,1.36623,0.77423,0.5,0.61429,0.4211,1.13089,1.3575,1.5218,0.00140295,0.00140295,0.00140295
18,9700.18,0.9353,1.06506,1.39027,0.8389,0.48549,0.60338,0.46863,0.99159,1.15506,1.36966,0.00138644,0.00138644,0.00138644
19,9927.34,0.86401,0.99818,1.32931,0.93806,0.40689,0.56931,0.42738,1.025,1.262,1.40893,0.00136994,0.00136994,0.00136994
20,10155.6,0.87643,1.04766,1.36042,0.84396,0.47254,0.57897,0.43712,0.99417,1.42497,1.37959,0.00135344,0.00135344,0.00135344
21,10382.6,0.84667,0.99317,1.3575,0.77663,0.46154,0.57253,0.44645,0.91741,1.17877,1.26383,0.00133693,0.00133693,0.00133693
22,10609,0.85123,0.99263,1.34658,0.74325,0.43803,0.54705,0.39608,0.9892,1.48862,1.32988,0.00132043,0.00132043,0.00132043
23,10836.1,0.90044,1.0662,1.3792,0.75751,0.51667,0.59105,0.39083,1.17538,1.41165,1.486,0.00130393,0.00130393,0.00130393
24,11062.9,0.83159,0.99352,1.33454,0.71756,0.50668,0.62282,0.45543,0.94418,1.03705,1.27935,0.00128742,0.00128742,0.00128742
25,11289,0.8494,1.01006,1.33363,0.78736,0.48419,0.6145,0.43344,1.16906,1.16752,1.46967,0.00127092,0.00127092,0.00127092
26,11514.9,0.82464,0.94182,1.3226,0.63051,0.56496,0.62541,0.4709,0.89948,1.03206,1.25203,0.00125442,0.00125442,0.00125442
27,11740.8,0.87691,1.03664,1.34185,0.69335,0.51086,0.61974,0.46368,0.90905,1.06116,1.25855,0.00123791,0.00123791,0.00123791
28,11967.8,0.83134,0.93745,1.33479,0.78869,0.53892,0.65505,0.47777,0.99725,1.14431,1.3891,0.00122141,0.00122141,0.00122141
29,12193.4,0.84055,0.94136,1.3268,0.81241,0.5141,0.63128,0.47313,0.93041,1.05438,1.26783,0.00120491,0.00120491,0.00120491
30,12420.8,0.82564,0.94716,1.31279,0.70818,0.54877,0.63239,0.49299,0.86955,0.99993,1.23619,0.0011884,0.0011884,0.0011884
31,12648.1,0.84192,0.92629,1.3118,0.75343,0.53205,0.64851,0.49835,0.90761,0.99905,1.25993,0.0011719,0.0011719,0.0011719
32,12874.7,0.82044,0.9142,1.30207,0.53112,0.57979,0.60214,0.46225,0.87983,1.03265,1.23282,0.0011554,0.0011554,0.0011554
33,13100,0.8037,0.87174,1.27631,0.79877,0.52692,0.65479,0.4984,0.87216,0.96157,1.23908,0.00113889,0.00113889,0.00113889
34,13327.5,0.79535,0.87387,1.29096,0.70766,0.58491,0.64373,0.49166,0.96301,0.98934,1.33456,0.00112239,0.00112239,0.00112239
35,13554.9,0.7993,0.88463,1.32126,0.61242,0.57692,0.64748,0.49395,0.89386,1.01015,1.25634,0.00110589,0.00110589,0.00110589
36,13782.4,0.80576,0.88955,1.29638,0.67968,0.60927,0.65732,0.49239,0.89092,0.94113,1.23481,0.00108938,0.00108938,0.00108938
37,14007.7,0.77846,0.85133,1.27655,0.81857,0.56154,0.68135,0.51954,0.89921,0.97748,1.25389,0.00107288,0.00107288,0.00107288
38,14234.6,0.74917,0.82274,1.25625,0.79449,0.55207,0.6802,0.51364,0.90704,0.99483,1.27002,0.00105638,0.00105638,0.00105638
39,14459.3,0.74249,0.80505,1.25604,0.71363,0.60084,0.671,0.48212,0.87251,1.02172,1.25272,0.00103987,0.00103987,0.00103987
40,14684.2,0.7664,0.83993,1.27509,0.69662,0.57906,0.66339,0.51326,0.83374,0.89905,1.19124,0.00102337,0.00102337,0.00102337
41,14908.5,0.72583,0.79578,1.23059,0.71618,0.58162,0.68675,0.51075,0.8535,0.94382,1.21699,0.00100687,0.00100687,0.00100687
42,15132.1,0.73313,0.80739,1.24183,0.7225,0.62349,0.68256,0.52134,0.80323,0.90095,1.20173,0.000990365,0.000990365,0.000990365
43,15355.4,0.72419,0.78273,1.24566,0.7112,0.63718,0.69123,0.5298,0.84015,0.93501,1.21915,0.000973861,0.000973861,0.000973861
44,15579.2,0.72589,0.78712,1.23153,0.70517,0.61581,0.6717,0.52518,0.80871,0.91715,1.17469,0.000957358,0.000957358,0.000957358
45,15801.7,0.75432,0.77581,1.25507,0.71147,0.61716,0.69394,0.52541,0.851,0.84355,1.21904,0.000940855,0.000940855,0.000940855
46,16024.7,0.72617,0.78286,1.24082,0.80982,0.5222,0.65499,0.51461,0.87165,0.95389,1.23965,0.000924352,0.000924352,0.000924352
47,16247.2,0.72517,0.74572,1.24228,0.71954,0.5619,0.6511,0.49871,0.91126,0.91104,1.26996,0.000907848,0.000907848,0.000907848
48,16470.3,0.73175,0.76739,1.25745,0.5682,0.61695,0.58371,0.46765,0.85968,1.23158,1.23111,0.000891345,0.000891345,0.000891345
49,16692.6,0.67825,0.75123,1.21521,0.76289,0.6351,0.71201,0.53543,0.83737,0.90785,1.22506,0.000874842,0.000874842,0.000874842
50,16916.9,0.68569,0.74581,1.21227,0.74576,0.59335,0.68216,0.51954,0.80962,0.90366,1.16575,0.000858338,0.000858338,0.000858338
51,17141.5,0.74451,0.79216,1.25343,0.64693,0.63104,0.6878,0.51886,0.82186,0.85852,1.18223,0.000841835,0.000841835,0.000841835
52,17365,0.69963,0.737,1.22105,0.70096,0.59444,0.65476,0.5125,0.81994,0.91324,1.1671,0.000825332,0.000825332,0.000825332
53,17587.8,0.69348,0.71682,1.22354,0.70894,0.60556,0.68885,0.52583,0.85929,0.84862,1.23491,0.000808828,0.000808828,0.000808828
54,17811.3,0.68558,0.73958,1.21376,0.72798,0.6165,0.70061,0.53051,0.87327,0.89265,1.24694,0.000792325,0.000792325,0.000792325
55,18033.1,0.71621,0.74514,1.23703,0.79923,0.60128,0.71693,0.54478,0.82496,0.8545,1.18525,0.000775822,0.000775822,0.000775822
56,18254.5,0.67478,0.6964,1.21049,0.73134,0.60897,0.68029,0.53592,0.80024,0.88823,1.17296,0.000759318,0.000759318,0.000759318
57,18476.1,0.6525,0.66232,1.18768,0.80169,0.56496,0.6705,0.52551,0.79743,0.88789,1.18535,0.000742815,0.000742815,0.000742815
